2026-05-29 00:28:46,737 | INFO | AnalyticsService created
2026-05-29 00:28:46,737 | INFO | creating CyberDefenseWindow
2026-05-29 00:28:46,739 | INFO | CyberDefenseWindow.__init__: start
2026-05-29 00:28:46,740 | INFO | creating MonitoringService
2026-05-29 00:28:46,752 | INFO | MonitoringService created
2026-05-29 00:28:46,752 | INFO | connected sample_ready
2026-05-29 00:28:46,752 | INFO | _build_ui: creating QStackedWidget
2026-05-29 00:28:46,753 | INFO | _build_ui: QStackedWidget created
2026-05-29 00:28:46,767 | INFO | _build_ui: LoginPage created
2026-05-29 00:28:46,767 | INFO | DashboardShell._build_ui: start
2026-05-29 00:28:46,768 | INFO | DashboardShell._build_ui: created sidebar frame
2026-05-29 00:28:46,768 | INFO | DashboardShell._build_ui: nav buttons added
2026-05-29 00:28:46,769 | INFO | DashboardShell._build_ui: creating pages
2026-05-29 00:28:46,771 | INFO | DashboardShell._build_ui: HomePage created
2026-05-29 00:28:46,774 | INFO | DashboardShell._build_ui: MonitoringPage created
2026-05-29 00:28:46,783 | INFO | DashboardShell._build_ui: AnalyticsPage created
2026-05-29 00:28:46,785 | INFO | DashboardShell._build_ui: DevicePage created
2026-05-29 00:28:46,796 | INFO | DashboardShell._build_ui: PhishingPage created
2026-05-29 00:28:46,801 | INFO | DashboardShell._build_ui: ReportsPage created
2026-05-29 00:28:46,803 | INFO | DashboardShell._build_ui: LogsPage created
2026-05-29 00:28:46,808 | INFO | DashboardShell._build_ui: SettingsPage created
2026-05-29 00:28:46,808 | INFO | DashboardShell._build_ui: adding page to stack home
2026-05-29 00:28:46,810 | INFO | DashboardShell._build_ui: added page home
2026-05-29 00:28:46,810 | INFO | DashboardShell._build_ui: adding page to stack monitoring
2026-05-29 00:28:46,811 | INFO | DashboardShell._build_ui: added page monitoring
2026-05-29 00:28:46,811 | INFO | DashboardShell._build_ui: adding page to stack analytics
2026-05-29 00:28:46,812 | INFO | DashboardShell._build_ui: added page analytics
2026-05-29 00:28:46,812 | INFO | DashboardShell._build_ui: adding page to stack devices
2026-05-29 00:28:46,812 | INFO | DashboardShell._build_ui: added page devices
2026-05-29 00:28:46,813 | INFO | DashboardShell._build_ui: adding page to stack phishing
2026-05-29 00:28:46,814 | INFO | DashboardShell._build_ui: added page phishing
2026-05-29 00:28:46,814 | INFO | DashboardShell._build_ui: skipping None page quarantine
2026-05-29 00:28:46,814 | INFO | DashboardShell._build_ui: adding page to stack reports
2026-05-29 00:28:46,814 | INFO | DashboardShell._build_ui: added page reports
2026-05-29 00:28:46,814 | INFO | DashboardShell._build_ui: adding page to stack logs
2026-05-29 00:28:46,815 | INFO | DashboardShell._build_ui: added page logs
2026-05-29 00:28:46,815 | INFO | DashboardShell._build_ui: adding page to stack settings
2026-05-29 00:28:46,816 | INFO | DashboardShell._build_ui: added page settings
2026-05-29 00:28:46,820 | INFO | DashboardShell._build_ui: switch_page(home) called
2026-05-29 00:28:46,820 | INFO | _build_ui: DashboardShell created
2026-05-29 00:28:46,832 | INFO | _build_ui: central widget set
2026-05-29 00:28:46,832 | INFO | _build_ui: creating tray icon
2026-05-29 00:28:46,886 | INFO | _build_ui: tray icon created
2026-05-29 00:28:46,967 | INFO | _build_ui completed
2026-05-29 00:28:46,968 | INFO | _connect_events completed
2026-05-29 00:28:46,968 | INFO | starting monitoring_service
2026-05-29 00:28:46,968 | INFO | monitoring_service started
2026-05-29 00:28:46,968 | INFO | refresh_timer started
2026-05-29 00:28:46,968 | INFO | CyberDefenseWindow created
2026-05-29 00:28:47,019 | INFO | window.show() called
2026-05-29 00:30:04,439 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:30:04,707 | INFO | QApplication created
2026-05-29 00:30:04,707 | INFO | setApplicationName done
2026-05-29 00:30:04,720 | INFO | setStyle done
2026-05-29 00:30:04,732 | INFO | setWindowIcon done
2026-05-29 00:30:04,733 | INFO | theme loaded
2026-05-29 00:30:04,733 | INFO | creating DatabaseManager
2026-05-29 00:30:04,739 | INFO | DatabaseManager created
2026-05-29 00:30:04,740 | INFO | creating AppEventBus
2026-05-29 00:30:04,741 | INFO | AppEventBus created
2026-05-29 00:30:04,742 | INFO | creating AuthService
2026-05-29 00:30:04,743 | INFO | AuthService created
2026-05-29 00:30:04,746 | INFO | ensure_admin completed
2026-05-29 00:30:04,747 | INFO | creating PhishingService
2026-05-29 00:30:04,757 | INFO | PhishingService created
2026-05-29 00:30:04,757 | INFO | creating ProtectionService
2026-05-29 00:30:04,759 | INFO | ProtectionService created
2026-05-29 00:30:04,761 | INFO | creating AnalyticsService
2026-05-29 00:30:04,762 | INFO | AnalyticsService created
2026-05-29 00:30:04,762 | INFO | creating CyberDefenseWindow
2026-05-29 00:30:04,765 | INFO | CyberDefenseWindow.__init__: start
2026-05-29 00:30:04,766 | INFO | creating MonitoringService
2026-05-29 00:30:04,780 | INFO | MonitoringService created
2026-05-29 00:30:04,781 | INFO | connected sample_ready
2026-05-29 00:30:04,782 | INFO | _build_ui: creating QStackedWidget
2026-05-29 00:30:04,785 | INFO | _build_ui: QStackedWidget created
2026-05-29 00:30:04,797 | INFO | _build_ui: LoginPage created
2026-05-29 00:30:04,797 | INFO | DashboardShell._build_ui: start
2026-05-29 00:30:04,798 | INFO | DashboardShell._build_ui: created sidebar frame
2026-05-29 00:30:04,807 | INFO | DashboardShell._build_ui: nav buttons added
2026-05-29 00:30:04,807 | INFO | DashboardShell._build_ui: creating pages
2026-05-29 00:30:04,811 | INFO | DashboardShell._build_ui: HomePage created
2026-05-29 00:30:04,813 | INFO | DashboardShell._build_ui: MonitoringPage created
2026-05-29 00:30:04,823 | INFO | DashboardShell._build_ui: AnalyticsPage created
2026-05-29 00:30:04,826 | INFO | DashboardShell._build_ui: DevicePage created
2026-05-29 00:30:04,832 | INFO | DashboardShell._build_ui: PhishingPage created
2026-05-29 00:30:04,836 | INFO | DashboardShell._build_ui: ReportsPage created
2026-05-29 00:30:04,839 | INFO | DashboardShell._build_ui: LogsPage created
2026-05-29 00:30:04,846 | INFO | DashboardShell._build_ui: SettingsPage created
2026-05-29 00:30:04,846 | INFO | DashboardShell._build_ui: adding page to stack home
2026-05-29 00:30:04,850 | INFO | DashboardShell._build_ui: added page home
2026-05-29 00:30:04,850 | INFO | DashboardShell._build_ui: adding page to stack monitoring
2026-05-29 00:30:04,855 | INFO | DashboardShell._build_ui: added page monitoring
2026-05-29 00:30:04,856 | INFO | DashboardShell._build_ui: adding page to stack analytics
2026-05-29 00:30:04,860 | INFO | DashboardShell._build_ui: added page analytics
2026-05-29 00:30:04,861 | INFO | DashboardShell._build_ui: adding page to stack devices
2026-05-29 00:30:04,863 | INFO | DashboardShell._build_ui: added page devices
2026-05-29 00:30:04,864 | INFO | DashboardShell._build_ui: adding page to stack phishing
2026-05-29 00:30:04,867 | INFO | DashboardShell._build_ui: added page phishing
2026-05-29 00:30:04,867 | INFO | DashboardShell._build_ui: skipping None page quarantine
2026-05-29 00:30:04,868 | INFO | DashboardShell._build_ui: adding page to stack reports
2026-05-29 00:30:04,870 | INFO | DashboardShell._build_ui: added page reports
2026-05-29 00:30:04,871 | INFO | DashboardShell._build_ui: adding page to stack logs
2026-05-29 00:30:04,875 | INFO | DashboardShell._build_ui: added page logs
2026-05-29 00:30:04,875 | INFO | DashboardShell._build_ui: adding page to stack settings
2026-05-29 00:30:04,877 | INFO | DashboardShell._build_ui: added page settings
2026-05-29 00:30:04,881 | INFO | DashboardShell._build_ui: switch_page(home) called
2026-05-29 00:30:04,882 | INFO | _build_ui: DashboardShell created
2026-05-29 00:30:04,893 | INFO | _build_ui: central widget set
2026-05-29 00:30:04,894 | INFO | _build_ui: creating tray icon
2026-05-29 00:30:04,933 | INFO | _build_ui: tray icon created
2026-05-29 00:30:05,358 | INFO | _build_ui completed
2026-05-29 00:30:05,359 | INFO | _connect_events completed
2026-05-29 00:30:05,360 | INFO | starting monitoring_service
2026-05-29 00:30:05,362 | INFO | monitoring_service started
2026-05-29 00:30:05,363 | INFO | refresh_timer started
2026-05-29 00:30:05,364 | INFO | CyberDefenseWindow created
2026-05-29 00:30:05,467 | INFO | window.show() called
2026-05-29 00:39:26,323 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:39:26,370 | INFO | QApplication created
2026-05-29 00:39:26,370 | INFO | setApplicationName done
2026-05-29 00:39:26,382 | INFO | setStyle done
2026-05-29 00:39:26,392 | INFO | setWindowIcon done
2026-05-29 00:39:26,393 | INFO | theme loaded
2026-05-29 00:39:26,394 | INFO | creating DatabaseManager
2026-05-29 00:39:26,408 | INFO | DatabaseManager created
2026-05-29 00:39:26,408 | INFO | creating AppEventBus
2026-05-29 00:39:26,409 | INFO | AppEventBus created
2026-05-29 00:39:26,410 | INFO | creating AuthService
2026-05-29 00:39:26,411 | INFO | AuthService created
2026-05-29 00:39:26,412 | INFO | ensure_admin completed
2026-05-29 00:39:26,413 | INFO | creating PhishingService
2026-05-29 00:39:26,420 | INFO | PhishingService created
2026-05-29 00:39:26,421 | INFO | creating ProtectionService
2026-05-29 00:39:26,422 | INFO | ProtectionService created
2026-05-29 00:39:26,423 | INFO | creating AnalyticsService
2026-05-29 00:39:26,424 | INFO | AnalyticsService created
2026-05-29 00:39:26,425 | INFO | creating CyberDefenseWindow
2026-05-29 00:39:26,488 | INFO | CyberDefenseWindow created
2026-05-29 00:39:26,527 | INFO | window.show() called
2026-05-29 00:42:25,613 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:42:25,659 | INFO | QApplication created
2026-05-29 00:42:25,660 | INFO | setApplicationName done
2026-05-29 00:42:25,673 | INFO | setStyle done
2026-05-29 00:42:25,684 | INFO | setWindowIcon done
2026-05-29 00:42:25,687 | INFO | theme loaded
2026-05-29 00:42:25,687 | INFO | creating DatabaseManager
2026-05-29 00:42:25,692 | INFO | DatabaseManager created
2026-05-29 00:42:25,693 | INFO | creating AppEventBus
2026-05-29 00:42:25,694 | INFO | AppEventBus created
2026-05-29 00:42:25,694 | INFO | creating AuthService
2026-05-29 00:42:25,695 | INFO | AuthService created
2026-05-29 00:42:25,697 | INFO | ensure_admin completed
2026-05-29 00:42:25,697 | INFO | creating PhishingService
2026-05-29 00:42:25,705 | INFO | PhishingService created
2026-05-29 00:42:25,705 | INFO | creating ProtectionService
2026-05-29 00:42:25,707 | INFO | ProtectionService created
2026-05-29 00:42:25,709 | INFO | creating AnalyticsService
2026-05-29 00:42:25,710 | INFO | AnalyticsService created
2026-05-29 00:42:25,710 | INFO | creating CyberDefenseWindow
2026-05-29 00:42:25,771 | INFO | CyberDefenseWindow created
2026-05-29 00:42:25,842 | INFO | window.show() called
2026-05-29 00:46:42,222 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:46:42,254 | INFO | QApplication created
2026-05-29 00:46:42,255 | INFO | setApplicationName done
2026-05-29 00:46:42,265 | INFO | setStyle done
2026-05-29 00:46:42,274 | INFO | setWindowIcon done
2026-05-29 00:46:42,275 | INFO | theme loaded
2026-05-29 00:46:42,275 | INFO | creating DatabaseManager
2026-05-29 00:46:42,280 | INFO | DatabaseManager created
2026-05-29 00:46:42,280 | INFO | creating AppEventBus
2026-05-29 00:46:42,280 | INFO | AppEventBus created
2026-05-29 00:46:42,280 | INFO | creating AuthService
2026-05-29 00:46:42,280 | INFO | AuthService created
2026-05-29 00:46:42,281 | INFO | ensure_admin completed
2026-05-29 00:46:42,281 | INFO | creating PhishingService
2026-05-29 00:46:42,292 | INFO | PhishingService created
2026-05-29 00:46:42,293 | INFO | creating ProtectionService
2026-05-29 00:46:42,295 | INFO | ProtectionService created
2026-05-29 00:46:42,295 | INFO | creating AnalyticsService
2026-05-29 00:46:42,295 | INFO | AnalyticsService created
2026-05-29 00:46:42,295 | INFO | creating CyberDefenseWindow
2026-05-29 00:46:42,449 | INFO | CyberDefenseWindow created
2026-05-29 00:46:42,495 | INFO | window.show() called
2026-05-29 00:47:12,212 | INFO | startup: workspace initialized, beginning app startup
